180511/1590/054;Право заключения договора на Поставка  замороженных  и охлажденных мясных полуфабрикатов и субпродуктов для лечебно-профилактического питания;"Общество с ограниченной ответственностью ""Смоленская АЭС-Сервис""";9 999 105,36;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805111590054
180511/2686/027;Право заключения договора на Поставка средств личной гигиены;"Центральный филиал Акционерного общества ""Атомспецтранс""";302 959,37;изменена;Опубликована;http://www.zakupki.rosatom.ru/1805112686027
180511/0606/062;"Поставка токарных пластин для Волгодонского филиала АО ""АТМ""";"Акционерное общество ""Атомтрубопроводмонтаж""";703 285,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805110606062
180508/0601/320;Поставка механических частей ТКГ и гидротолкателей ТЭ;"Публичное акционерное общество ""Машиностроительный завод ""ЗиО-Подольск""";460 700,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805080601320
180511/63326/087;Право заключения договора на поставку средств вычислительной техники;"""Научно-исследовательский и конструкторский институт радиоэлектронной техники"" - филиал акционерного общества ""Федеральный научно-производственный центр ""Производственное объединение ""Старт"" им. М.В. Проценко""";528 639,75;17.05.2018;Опубликована;http://www.zakupki.rosatom.ru/18051163326087
180516/0524/111;поставка оборудования радиационного контроля для Смоленской АЭС;"Акционерное общество ""Специализированный научно-исследовательский институт приборостроения""";208 349 060,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160524111
180511/2442/476;Право заключения договора на Поставка контакторов;"Акционерное общество ""Промышленные инновации"".";1 092 278,41;изменена;Опубликована;http://www.zakupki.rosatom.ru/1805112442476
180516/0534/251;"Право заключения договора на Поставка рефлектометра оптического для нужд Ростовского филиала ""Ростоватомтехэнерго"" АО ""Атомтехэнерго""";"Акционерное общество по наладке, совершенствованию эксплуатации и организации управления атомных станций ""Атомтехэнерго""";219 637,32;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160534251
180511/0536/710;Право заключения договора на поставку товара по лоту № 12375/788-Блр1/К-18 «Поставка охлаждающей жидкости зданий 10UBN и 10UBS для сооружения энергоблока № 1 Белорусской АЭС»;"Акционерное общество Инжиниринговая компания ""АСЭ""";5 485 770,20;19.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805110536710
180516/0601/319;Поставка иглы индексной;"Публичное акционерное общество ""Машиностроительный завод ""ЗиО-Подольск""";438 370,94;07.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160601319
180511/0505/184;Право заключения договора на  поставка гигротермодатчиков для климат-контроля  (907-O090-17/729);"Акционерное общество ""Уральский электрохимический комбинат""";465 554,07;изменена;Опубликована;http://www.zakupki.rosatom.ru/1805110505184
180516/0499/221;поставка трубы бесшовной горячедеформированной;"Акционерное общество ""Ордена Ленина Научно-исследовательский и конструкторский институт энерготехники имени Н.А. Доллежаля""";434 240,00;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805160499221
